project,name,facility,owner,address,city,county,cost,sqft_stated,work,status,registered,start,end,scope,design_firm,url,sqft,sqft_source,primary,duplicate_of,cost_per_sqft,cost_suspect,area_is_campus,found_by,geo_precision,lon,lat
TABS2026008343,Abilene Campus Core Building,Campus Core Tenant Improvement (TI),"Abilene DC9, LLC",617 FM 2404,Abilene,Taylor,180000000.0,126425,New Construction,Project Registered,2025-12-17,2026-04-09,2027-06-18,"This proposed work is to build-out an office and data hall Tenant Improvement into an existing 126,425 SF shell building",,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026008343,126425,,True,,1424,False,False,scope of work,address,-99.775154,32.509739
TABS2024016342,Skybox - Austin 2 Fit Out,Building 2,"Austin Data Center 2, LLC",2515 S Kenney Fort Blvd,Pflugerville,Williamson,86370115.0,126150,New Construction,Project Registered,2024-04-16,2024-10-09,2025-06-01,"Interior Fit Out of a Data Center. 126150SF of interior space is being affected by the Fit Out Improvements. Scope includes hot aisle containment, electrical busway, cable tray, & a second-story office to support the data center space.",Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016342,126150,,True,,685,False,False,scope of work,address,-97.636022,30.504357
TABS2024002257,Cyrusne DFW4 | Shell & Upfit,DFW4,CyrusOne,Chelsea Blvd.,Allen,Collin,31500000.0,126005,New Construction,Review Complete,2023-10-03,2024-01-02,2024-09-01,"New Construction, single-story Data Center with two-story office component.  Total SF expected to be 126,005. Exterior construction to be insulated precast with steel structure.",JHET Architects,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024002257,126005,,True,,250,False,False,scope of work,address,-96.663434,33.137098
TABS2025005073,CyrusOne DFW6 - Phase 2,DFW6,CyrusOne LLC,1510 E Lookout Dr.,Richardson,Dallas,79800000.0,125115,Additions to Existing Building,Project Registered,2024-11-07,2024-12-15,2025-06-02,"Data Center up-fit of an existing facility. There will be no added SF, the existing building is single story with a mezzanine in front of house area for office (125,115 SF).",JHET Architects,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005073,125115,,True,,638,False,False,scope of work,address,-96.696395,32.98421
TABS2024018795,CyrusOne DFW6 - Phase 1,DFW6,CyrusOne LLC,1510 E Lookout Dr.,Richardson,Dallas,79800000.0,125115,Additions to Existing Building,Project Registered,2024-05-17,2024-06-15,2025-04-15,"Data Center up-fit of an existing facility. There will be no added SF, the existing building is single story with a mezzanine in front of house area for office (125,115 SF).",JHET Architects,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018795,125115,,True,,638,False,False,scope of work,address,-96.696395,32.98421
TABS2026014987,BITTER BLUE,Building B,AMAZON DATA SERVICES INC,12807 Donop Road,San Antonio,Bexar,65000000.0,119407,New Construction,Review Complete,2026-03-15,2026-12-03,2029-02-09,A new construction of a two-story building for a single tenant computer data center.,Gensler,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014987,119407,,True,,544,False,False,scope of work,address,-98.391841,29.293115
TABS2025002159,TX11-SAT26,TX11,Scott Meier,14720 Omicron Dr.,San Antonio,Bexar,50000000.0,114912,New Construction,Review Complete,2024-10-01,2024-11-11,2025-08-12,"TX11 SAT26 includes customer office and storage area, and 32MW DM tenant build out. Programmatically, the data center build out is comprised of three main functional area blocks, including COLO data-hall(s), administration and security.",Sheehan Nagle Hartray Architects,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025002159,114912,,True,,435,False,False,scope of work,address,-98.786962,29.41388
TABS2021014441,CyrusOne-SAT VI TRP 2,CyrusOne-SAT VI TRP2,CyrusOne,14719 Omicron Dr,San Antonio,Bexar,50000000.0,112175,New Construction,Project Registered,2021-04-29,2021-07-01,2022-04-30,"New construction building, 132,070 SF of two-story data center, 19,895 sf of two-story office",Corgan Associates,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2021014441,112175,,True,,446,False,False,scope of work,address,-98.787797,29.418359
TABS2022001010,908 Quality Way Suite 210-310 PBB,908 Quality Way,Digital Realty,908 Quality Way,Richardson,Dallas,35000000.0,111500,New Construction,Inspection Complete,2021-09-15,2021-11-01,2022-07-25,First time finish out of data center and office.,Alliance Architects,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2022001010,111500,,True,,314,False,False,scope of work,address,-96.711007,32.966092
TABS2026000646,Digital Realty DFW37 Suite 105/205,DFW37,Digital Realty,1502 Ferris Road,Garland,Dallas,136000000.0,110916,Renovation/Alteration,Project Registered,2025-09-10,2025-10-01,2026-10-01,"110,916 SF interior fit-out of existing 2 story facility with steel structure and tilt up concrete panel facade. Interior fit-out of suites 105 and 205 to become data hall white floor space with associated electrical, mechanical rooms for support.",JHET Architects,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026000646,110916,,True,,1226,False,False,scope of work,address,-96.652861,32.975219
TABS2026007843,Digital Reality DFW37 Suite 110/210,DFW37,Digital Reality,1502 Ferris Road,Garland,Dallas,60000000.0,110916,Renovation/Alteration,Project Registered,2025-12-11,2026-06-01,2027-02-28,"110,916 SF interior fit-out of existing 2 story facility with steel structure and tilt up concrete panel facade. Interior fit-out of suites 110 and 210 to become data hall white floor space with associated electrical, mechanical rooms for support.","JHET Architects, PLLC",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026007843,110916,,True,,541,False,False,scope of work,address,-96.652861,32.975219
TABS2021003295,AWS Rockfish,ALE062,"Amazon Data Services, Inc.",TX-211 & Potranco Road,San Antonio,Bexar,55950000.0,109600,New Construction,Review Complete,2020-10-27,2021-01-01,2021-12-06,New construction and fit-out of a data center,Gensler,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2021003295,109600,,True,,510,False,False,scope of work,address,-98.779202,29.418783
TABS2021001485,AWS Rockfish,ALE061,"Amazon Data Services, Inc.",11625 Old Corpus Christi Highway,San Antonio,Colorado,55950000.0,109600,New Construction,Review Complete,2020-09-28,2021-01-01,2021-12-06,New construction and fit-out of a data center,Gensler,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2021001485,109600,,True,,510,False,False,scope of work,county,-96.523489,29.60462
TABS2021003294,AWS Rockfish,ALE060 - TI,"Amazon Data Services, Inc.",7400 Potranco Road,San Antonio,Bexar,31000000.0,109600,New Construction,Review Complete,2020-10-27,2021-04-01,2021-12-06,Fit-out of a data center,Gensler,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2021003294,109600,,True,,283,False,False,scope of work,address,-98.638548,29.450861
